PVV4;1,a,a,b,a,b,b,a,b,b,b,b,b,a,a,b,a,a,a,a,b,a,b,a,b,a,b,b,b,b,a,a,b,a,b,b,b,b,a,a,b,b,a,b,a,a,a,b,a,b,b,b,b,a,a,a,a,b,a,a,a,b,b,a,b,a,b,a,a,b,b,b,a,b,b,a,a,b,a,b,b,a,a,b,b,b,a,b,a,a,b,a,a,b,b,a,a,a,a,b,a,b,a,a,b,b,b,a,a,b,b,a,a,b,b,b,a,a,a,a,b,a,a,a,b,b,b,b,b,a,a,a,b,b,a,b,a,b,b,a,a,b,b,b,b,b,b,b,a,a,b,a,b,b,b,b,a,a,a,b,b,b,b
CRY2;2,a,a,b,a,b,b,a,b,b,b,b,b,b,a,b,a,a,a,a,b,a,b,a,b,b,a,b,b,b,a,a,b,a,b,b,b,a,a,a,b,b,a,b,a,a,a,b,a,b,b,b,b,a,a,a,a,b,a,a,a,b,b,a,a,a,b,a,b,b,a,b,a,b,b,a,a,b,a,b,b,a,a,b,b,b,b,b,b,a,b,a,a,b,b,a,a,a,a,b,a,b,a,a,b,b,b,a,a,a,b,a,b,b,b,b,a,a,a,a,b,a,b,a,b,a,b,b,b,a,a,a,b,b,a,b,b,b,b,a,a,b,b,b,b,b,b,b,b,a,b,a,b,b,b,a,a,a,b,b,b,b,b
AXR-1;3,a,a,b,a,b,b,a,b,b,b,b,b,b,a,b,a,a,a,a,b,a,b,a,b,b,a,b,-,b,a,a,b,a,b,b,a,a,a,a,b,b,a,b,a,a,a,b,a,b,b,b,b,a,a,a,a,b,a,a,a,b,b,a,a,a,b,a,b,b,a,b,a,b,b,a,a,b,a,b,b,a,a,b,b,b,b,b,b,a,b,a,a,b,b,a,a,a,a,b,a,b,a,a,b,b,b,a,a,a,b,a,b,a,b,b,a,a,a,a,b,a,b,a,b,a,b,b,b,a,a,a,b,b,a,b,b,b,b,a,a,b,b,b,b,b,b,b,b,a,b,b,b,b,b,a,a,a,b,b,b,b,b
HH.335C;4,a,a,a,a,b,b,a,b,b,b,a,b,b,a,b,a,b,a,a,b,a,b,a,b,b,b,b,a,b,b,b,b,a,b,b,a,a,a,a,b,b,a,b,a,a,a,b,a,b,b,b,a,a,a,a,a,b,a,a,a,b,b,a,a,a,b,b,b,b,a,b,a,b,b,a,a,b,a,b,b,a,a,b,b,b,b,b,b,a,b,a,a,b,b,a,a,a,a,b,a,b,a,a,b,b,b,a,a,a,b,a,b,a,b,b,a,a,b,a,b,a,a,a,b,a,b,a,b,a,a,a,b,b,a,b,b,b,b,a,a,b,b,b,b,b,b,a,b,a,b,b,b,b,b,b,a,a,b,b,b,b,b
DF.162L;5,a,a,a,a,b,b,a,b,b,b,a,b,b,a,b,a,b,a,a,b,a,b,a,b,b,b,b,a,b,b,b,b,a,b,b,a,a,a,a,b,b,a,b,a,a,a,b,a,b,b,b,a,a,a,a,a,b,b,a,a,b,b,a,a,a,b,b,b,b,a,b,a,b,b,a,a,b,a,b,b,a,a,a,b,b,b,b,b,a,b,a,a,b,b,a,a,b,a,b,a,b,a,a,b,b,b,a,a,a,b,a,b,a,b,b,a,a,b,a,b,a,a,a,b,a,b,a,b,a,a,a,b,b,a,b,b,b,b,a,a,b,b,b,b,b,b,a,b,b,b,a,b,b,b,b,a,a,b,b,b,b,a
BH.147L;6,a,a,a,a,b,b,a,a,b,b,a,b,b,a,b,a,b,a,a,b,a,b,a,b,b,b,b,a,b,b,b,b,a,b,b,a,a,a,a,b,b,a,b,a,a,a,b,a,b,b,b,a,a,a,a,b,b,b,a,a,b,b,b,a,a,b,b,b,b,a,b,a,b,b,a,a,b,a,b,b,a,a,a,b,b,b,b,b,a,b,a,a,b,b,a,a,b,a,b,a,b,a,a,b,b,b,a,a,a,b,a,b,a,b,b,a,a,b,a,b,a,a,a,b,a,b,a,b,a,a,a,b,b,a,b,b,b,b,a,a,b,b,b,b,b,b,a,b,b,b,a,b,b,b,b,a,a,b,b,b,b,a
EC.480C;7,a,a,a,a,b,b,a,a,b,b,a,b,b,a,b,a,b,a,a,b,a,b,a,b,b,b,b,a,b,b,b,b,a,b,b,a,a,a,a,b,b,b,b,a,a,a,b,a,b,b,b,b,a,a,a,b,b,b,a,a,b,b,b,a,a,b,b,b,b,a,b,a,b,b,a,a,b,a,b,b,a,a,a,b,b,b,b,b,a,b,a,a,b,b,a,a,b,a,b,b,b,a,a,b,b,b,a,a,a,b,a,b,a,b,b,a,a,b,a,b,a,a,a,b,a,b,a,b,a,a,a,b,b,a,b,b,b,b,a,a,b,b,b,b,b,b,a,b,b,b,a,b,b,b,b,a,a,b,b,b,b,a
EC.66C;8,a,a,a,a,b,b,a,a,b,b,a,b,b,a,b,a,b,a,b,b,a,b,a,b,b,b,b,-,b,b,b,b,a,b,b,a,a,a,a,b,b,b,b,a,a,a,b,a,b,b,b,b,a,a,a,b,b,b,a,a,b,b,b,a,a,b,b,a,b,a,b,a,b,a,a,a,b,b,b,b,b,b,a,a,b,b,b,b,b,b,a,a,b,b,a,a,b,a,a,b,a,b,a,b,b,a,a,a,a,b,a,b,a,b,b,a,a,b,b,b,b,a,a,b,a,b,a,b,a,a,a,b,b,a,b,a,b,b,a,a,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,a,b,b,b,b,a
GD.86L;9,a,a,a,a,b,b,a,a,b,b,a,b,b,a,b,a,b,a,b,b,a,b,b,b,b,b,b,-,b,b,b,b,a,b,b,a,a,a,a,b,b,b,a,a,a,a,b,a,b,a,b,b,a,a,a,b,b,b,a,a,b,b,b,b,a,b,b,a,b,a,b,a,b,a,a,a,b,b,b,b,b,b,a,a,b,b,b,b,b,a,a,a,b,b,a,a,b,a,a,b,a,b,a,b,b,a,a,a,a,b,a,b,a,b,b,a,a,a,b,b,b,a,a,b,a,b,a,b,a,a,a,b,b,a,b,a,b,b,a,a,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,a,b,b,b,b,a
g2395;10,b,a,a,a,b,b,a,a,b,b,a,b,b,a,b,a,b,a,b,b,a,b,b,b,b,b,b,a,a,b,b,b,a,a,b,a,a,a,a,b,b,b,a,a,a,a,b,a,b,a,b,b,a,a,a,b,b,b,b,a,b,b,b,b,a,b,b,a,b,a,b,a,b,a,a,a,b,b,b,b,b,b,a,a,b,b,b,b,b,a,a,a,b,a,a,a,b,b,a,b,a,b,a,b,b,a,a,a,a,b,b,b,a,b,b,a,a,b,b,b,b,a,a,b,a,b,a,b,a,a,a,b,b,b,b,a,b,b,a,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,a,b,b,b,a,a
